ten_san_pham,gia_ban,gia_ban_so,gia_goc,gia_goc_so,link,hinh_anh,danh_muc,thoi_gian_cao,thong_so
Điện thoại Xiaomi Mi 11 Lite 5G Chính hãng DGW (Kèm sạc 33W),7.950.000 ₫,7950000,8.800.000₫,8800000,https://mobilecity.vn/xiaomi/xiaomi-mi-11-lite-5g-chinh-hang.html,https://cdn.mobilecity.vn/mobilecity-vn/images/2021/11/xiaomi-mi-11-lite-5g-chinh-hang-xanh.jpg.webp,Xiaomi,2026-04-27 11:49:31,"Màn hình: AMOLED, 6.55 inches, 90Hz, HDR10+ 6.55 inches Full HD+ (1080 x 2400 pixels), tỷ lệ: 20:9 Corning Gorilla Glass 6 | Hệ điều hành: Android 11, MIUI 12.5 | Camera sau: 64 MP, f/1.8 (góc rộng), 26mm, PDAF 8 MP, f/2.2 (góc siêu rộng), 119˚ 5 MP, f/2.4 (macro), AF Quay phim: 4K@30fps, 1080p@30/60/120fps; gyro-EIS | Camera trước: 20 MP, f/2.2 (góc rộng), 27mm Quay phim: 1080p@30/60fps, 720p@120fps | Bộ nhớ trong: 64-256GB, UFS 2.2 | Thẻ SIM: 2 SIM, Nano SIM | Dung lượng pin: Li-Po 4250 mAh Sạc nhanh 33W Quick Charge 4+ Power Delivery 3.0 | Thiết kế: Thanh + Cảm ứng"
Điện thoại Xiaomi 13T Chính hãng DGW (Dimensity 8200 Ultra),9.450.000 ₫,9450000,11.450.000₫,11450000,https://mobilecity.vn/dien-thoai/xiaomi-13t-chinh-hang-dimensity.html,https://cdn.mobilecity.vn/mobilecity-vn/images/2023/09/xiaomi-13t-xanh-la.jpg.webp,Xiaomi,2026-04-27 11:49:31,"Màn hình: AMOLED, 68 tỷ màu 144Hz, Dolby Vision, HDR10+, 1200 nits (HBM), 2600 nits (tối đa) 6.67 inches, 1.5K (1220 x 2712 pixels) Tỷ lệ 20:9, mật độ điểm ảnh ~446 ppi Corning Gorilla Glass 5 | Hệ điều hành: Android 13, MIUI 14 | Camera sau: 50 MP, f/1.9, 24mm (góc rộng), PDAF, OIS 50 MP, f/1.9, 50mm (tele), PDAF, zoom quang 2x 12 MP, f/2.2, 15mm (góc siêu rộng) Quay phim: 4K@30fps (HDR10+), 1080p@30/60/120fps, gyro-EIS | Camera trước: 20 MP, f/2.2 (wide), HDR Quay phim: 1080p@30fps, HDR10+ | Bộ nhớ trong: 256GB, UFS 3.1 | Thẻ SIM: 2 SIM, Nano SIM Hoặc Nano SIM và eSIM | Dung lượng pin: Li-Po 5000 mAh Sạc nhanh 67W, PD3.0, QC4 Sạc 100% pin trong 42 ph (QC) | Thiết kế: Khung nhựa Mặt lưng kính/da Kính trước Gorilla Glass 5 Kháng nước, bụi IP68"
Điện thoại Xiaomi 12T Chính hãng DGW,9.450.000 ₫,9450000,12.450.000₫,12450000,https://mobilecity.vn/dien-thoai/xiaomi-12t.html,https://cdn.mobilecity.vn/mobilecity-vn/images/2022/10/xiaomi-12t-bac.jpg.webp,Xiaomi,2026-04-27 11:49:31,"Màn hình: AMOLED, 68 tỷ màu, 120Hz, HDR10+ 6.67 inches, 1.5K (1220 x 2712 pixels), tỷ lệ 20:9 Corning Gorilla Glass 5 Cảm biến vân tay trong màn hình | Hệ điều hành: Android 12, MIUI 13 | Camera sau: 108 MP, f/1.7, 83.6° (góc rộng), PDAF, OIS 8 MP, f/2.2, 120˚ (góc siêu rộng) 2 MP, f/2.4, (macro) Quay phim: 4K@30fps, 1080p@30/60fps | Camera trước: 20 MP, f/2.2, (góc rộng) Quay phim: 1080p@30/60fps | Bộ nhớ trong: 128-256GB | Thẻ SIM: 2 SIM, Nano SIM | Dung lượng pin: Li-Po 5000 mAh Sạc nhanh 120W, 100% trong 19 phút (Quảng cáo) | Thiết kế: Thanh + Cảm ứng"
Điện thoại Xiaomi 12 Pro (Dimensity 9000 Plus),9.750.000 ₫,9750000,10.450.000₫,10450000,https://mobilecity.vn/dien-thoai/xiaomi-12-pro-dimensity-9000-plus.html,https://cdn.mobilecity.vn/mobilecity-vn/images/2022/07/xiaomi-12-pro-dimensity-9000-plus-ava-1-1.jpg.webp,Xiaomi,2026-04-27 11:49:31,"Màn hình: LTPO 2.0 AMOLED, 120Hz, HDR10+ 6.73 inches QuadHD+ (1440 x 3200 pixels), tỉ lệ 20:9 | Hệ điều hành: Android 12, MIUI 13 | Camera sau: 50 MP, f/1.9 (góc rộng), Dual Pixel PDAF, OIS 5 MP, f/2.4 (tele), PDAF, 2x zoom 13 MP, f/2.4, 123˚ (góc siêu rộng) Quay phim: 8K@24fps, 4K@30/60fps, 1080p@30/60/120/240/960fps | Camera trước: 32 MP (góc rộng) Quay phim: 1080p@30/60fps, 720p@120fps | Bộ nhớ trong: Không giới hạn | Thẻ SIM: 2 SIM | Dung lượng pin: Li-Po 5160 mAh sạc nhanh 67W | Thiết kế: Thanh + cảm ứng"
Điện thoại Xiaomi CIVI (Snap 778G),9.950.000 ₫,9950000,10.250.000₫,10250000,https://mobilecity.vn/xiaomi/xiaomi-civi.html,https://cdn.mobilecity.vn/mobilecity-vn/images/2021/10/xiaomi-civi-4.jpg.webp,Xiaomi,2026-04-27 11:49:31,"Màn hình: 6.55 inches AMOLED, Full HD+ (1080 x 2340 pixels), Corning Gorilla Glass 5, 1 tỷ màu, 120Hz, HDR10 | Hệ điều hành: Android 11, MIUI 12.5 | Camera sau: 64 MP, f / 1.8, 26mm (góc rộng), 1 / 1.97 "", 0,7µm, PDAF 8 MP, f / 2.2, (góc siêu rộng), 1 / 4.0"", 1,12µm 5 MP, f / 2.4, 50mm (macro, góc chụp zoom, tele), 1 / 5.0 "", 1.12µm, AF Quay phim: 4K@30fps, 1080p@30/60/120fps; gyro-EIS | Camera trước: 32 MP, f/2.5, (wide) Quay phim: 1080p@30/60fps, 720p@120fps | Bộ nhớ trong: 128-256GB | Thẻ SIM: 2 SIM (Nano-SIM, dual stand-by) | Dung lượng pin: Li-Po 4500 mAh, Sạc nhanh 55W | Thiết kế: Thiết kế 2 mặt kính, màn hình đục lỗ camera trước"
Điện thoại Xiaomi CIVI 5 Pro (Snapdragon 8s Gen 4),10.850.000 ₫,10850000,,0,https://mobilecity.vn/dien-thoai/xiaomi-civi-5-pro-5g.html,https://cdn.mobilecity.vn/mobilecity-vn/images/2025/05/xiaomi-civi-5-pro-hong.jpg.webp,Xiaomi,2026-04-27 11:49:31,"Màn hình: AMOLED, 68 tỷ màu, 120Hz, Dolby Vision, HDR10+, HDR Vivid, 3200 nits (peak) 6.55 inches, 1.5K (1236 x 2750 pixels) Tỷ lệ 20:9, mật độ điểm ảnh ~460 ppi | Hệ điều hành: Android 15, HyperOS 2.0 | Camera sau: 50 MP, f/1.6, 25mm (góc rộng), 1/1.55"", 1.0µm, PDAF, OIS 50 MP, f/2.0, 60mm (tele), PDAF, (10cm - ∞), zoom quang 2.5x 12 MP, f/2.2, 15mm, 120˚ (góc siêu rộng), 1.12µm, AF Quay phim: 4K@30/60fps, 1080p@30/60/120/240/960fps, HDR, gyro-EIS | Camera trước: 50 MP, f/2.0 (góc rộng), 0.64µm, PDAF HDR, panorama Quay phim: 4K@30/60fps, 1080p@30/60fps; gyro-EIS | Bộ nhớ trong: 256-512GB, UFS 4.0 | Thẻ SIM: 2 SIM Nano | Dung lượng pin: Si/C Li-Ion 6000 mAh Sạc nhanh 67W, PD3.0, QC3+ | Thiết kế: Khung viền kim loại phẳng Mặt lưng kính/da phẳng Màn hình cong nhẹ 2.5D Vân tay quang học dưới màn hình"
Điện thoại Xiaomi CIVI 6 (Snapdragon 8s Gen 5 - Pin 6500mAh),10.950.000 ₫,10950000,,0,https://mobilecity.vn/dien-thoai/xiaomi-civi-6.html,https://cdn.mobilecity.vn/mobilecity-vn/images/2025/08/xiaomi-civi-6-minh-hoa-1.jpg.webp,Xiaomi,2026-04-27 11:49:31,"Màn hình: AMOLED, 68 tỷ màu, 120Hz 6.6 inches, 1.5K (1236 x 2750 pixels) | Hệ điều hành: Android 16, HyperOS 3.0 | Camera sau: 50 MP, f/1.6-f/2.2, 25mm (góc rộng), PDAF, OIS 50 MP, f/2.0, 60mm (tele), PDAF 12 MP (góc siêu rộng) Quay phim: 4K, 1080p, HDR, gyro-EIS | Camera trước: 50 MP (góc rộng), PDAF HDR, panorama Quay phim: 4K, 1080p; gyro-EIS | Bộ nhớ trong: 256-512GB, UFS 4.1 | Thẻ SIM: 2 SIM Nano | Dung lượng pin: Si/C Li-Ion 6500 mAh Sạc nhanh 67W | Thiết kế: "
Điện thoại Xiaomi 12S Pro,10.950.000 ₫,10950000,9.450.000₫,9450000,https://mobilecity.vn/dien-thoai/xiaomi-12s-pro.html,https://cdn.mobilecity.vn/mobilecity-vn/images/2022/07/xiaomi-12s-pro-trang.jpg.webp,Xiaomi,2026-04-27 11:49:31,"Màn hình: LTPO AMOLED, 1 tỷ màu, 120Hz, Dolby Vision, HDR10+, 1500 nits 6.73 inches, 2K+ (1440 x 3200 pixels) Corning Gorilla Glass Victus | Hệ điều hành: Android 12, MIUI 13 | Camera sau: 50 MP, f/1.9, 24mm (góc rộng), Dual Pixel PDAF, OIS 50 MP, f/1.9, 48mm (telephoto), PDAF, zoom quang học 2x 50 MP, f/2.2, 115˚ (góc siêu rộng) Quay phim: 8K@24fps (HDR), 4K@30/60fps (HDR10+), 1080p@30/120/240/960fps, 720p@1920fps, gyro-EIS | Camera trước: 32 MP, f/2.5, 26mm (góc rộng) Quay phim: 1080p@30/60fps, 720p@120fps, HDR10+ | Bộ nhớ trong: 128-512GB | Thẻ SIM: 2 SIM, Nano SIM | Dung lượng pin: Li-Po 4600 mAh Sạc nhanh 120W, 100% trong 19 phút (Quảng cáo) Sạc nhanh không dây 50W Sạc ngược không dây 10W | Thiết kế: Thanh + Cảm ứng"
Điện thoại Xiaomi 12S (Snapdragon 8+ Gen 1),10.950.000 ₫,10950000,14.950.000₫,14950000,https://mobilecity.vn/dien-thoai/xiaomi-12s.html,https://cdn.mobilecity.vn/mobilecity-vn/images/2022/07/xiaomi-12s-mau-xanh-ngoc.jpg.webp,Xiaomi,2026-04-27 11:49:31,"Màn hình: AMOLED. 68 tỷ màu, 120Hz, Dolby Vision, HDR10+ 6,28 inch, Full HD+ (1080 x 2400 pixel) Corning Gorilla Glass Victus | Hệ điều hành: Android 12, MIUI 13 | Camera sau: 50 MP, f/1.9 (góc rộng), PDAF, OIS 13 MP, f/2.4 (góc siêu rộng) 5 MP, f/2.4 (telephoto macro), AF Quay phim: 8K@24fps (HDR), 4K@30/60fps (HDR10+), 1080p@30/120/240/960fps, 720p@1920fps, gyro-EIS | Camera trước: 32 MP, f/2.5, (góc rộng) Quay phim: 1080p@30/60fps, 720p@120fps, HDR | Bộ nhớ trong: 128-512GB UFS 3.1 | Thẻ SIM: 2 SIM, Nano SIM | Dung lượng pin: Li-Po 4500 mAh Sạc nhanh 67W, 100% trong 42 ph (quảng cáo) Sạc nhanh không dây 50W, 100% trong 57 ph (quảng cáo) Sạc ngược 10W | Thiết kế: Màn hình cong Khung kim loại Mặt lưng kính/da Kính trước Gorilla Victus"
Điện thoại Xiaomi REDMI K90 Max (Dimensity 9500 - Quạt tản nhiệt),11.650.000 ₫,11650000,,0,https://mobilecity.vn/dien-thoai/xiaomi-redmi-k90-max-quat-tan-nhiet.html,https://cdn.mobilecity.vn/mobilecity-vn/images/2026/04/xiaomi-redmi-k90-max-quat-tan-nhiet-0-1.jpg,Xiaomi,2026-04-27 11:49:31,"Màn hình: AMOLED, 165Hz, Dolby Vision, HDR Vivid, HDR10+, 3500 nits (peak) 6.85 inches, 1.5K (1280 x 2772 pixels) Kính Xiaomi Dragon Crystal | Hệ điều hành: Android 16, HyperOS 3.0 | Camera sau: 50 MP, f/1.7, 23mm (góc rộng), dual pixel PDAF, OIS 8 MP, f/2.4, 18mm, 102˚ (góc siêu rộng) Quay phim: 8K@30fps, 4K@30/60fps, 1080p@30/60/120/240/960fps, 720p@1920fps, gyro-EIS, HDR10+ | Camera trước: 20 MP (góc rộng) Quay phim: 4K@30fps, 1080p@30/60fps | Bộ nhớ trong: 256GB-1TB, UFS 4.1 | Thẻ SIM: 2 Nano SIM | Dung lượng pin: Si/C Li-Ion 8550mAh Sạc siêu nhanh 100W Sạc ngược có dây 22.5W | Thiết kế: Khung viền nhôm phẳng Mặt lưng kính Cảm biến vân tay siêu âm dưới màn hình Kháng nước, bụi IP66/IP68/IP69"
